치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립연월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
화순군치매안심센터,치매안심센터,전라남도 화순군 화순읍 충의로 40,전라남도 화순군 화순읍 삼천리 701,35.055391,126.982021,2019-12,661.24,사무실(1)+상담실(2)+프로그램실(1)+쉼터(1),3,6,2,2(작업치료사),화순군보건소,,061-379-5317,,치매선별검사+치매예방프로그램+치매인지재활프로그램+치매가족 지원+치매치료관리비 지원 등,061-379-5318,전라남도 화순군 보건소,2026-01-22,4900000,전라남도 화순군
여수시치매안심센터,치매안심센터,전라남도 여수시 신월로 794,전라남도 여수시 봉강동 323-11,34.73912089,127.7260546,2019-12,876.7,사무실(2)+검진실(4)+상담실(4)+프로그램실(2)+교육실(1)+작은도서관(1),0,18,5,작업치료사(4)+기타(2),여수시 보건소,,061-659-5440,,치매선별검사(MMSE-DS)+치매조기검진비 지원+치매치료관리비 지원+치매실종예방서비스 지원+치매파트너모집+치매예방프로그램+치매환자가족프로그램,061-659-5440,전라남도 여수시 보건소,2026-02-13,4810000,전라남도 여수시
화천군 치매안심센터,치매안심센터,강원특별자치도 화천군 화천읍 강변로 111,강원특별자치도 화천군 화천읍 중리 242-4,38.10734123,127.709121,2001-12,300,사무실(1)+교육실(2)+쉼터(1)+검진실(2)+카페(1),0,13,0,작업치료사(1),화천군 보건의료원,이재성,033-440-2809,,치매검사+원격진료+주간재활프로그램 운영,033-442-4424,강원특별자치도 화천군청,2026-03-13,4311000,강원특별자치도 화천군
서구치매안심센터,치매안심센터,대구광역시 서구 북비산로 71길 7,대구광역시 서구 비산동 42-107,35.88016031,128.5723999,2019-12,942.31,상담실(1)+치매가족카페(1)+교육장(1)+쉼터(1)+가족프로그램실(1)+검진실(1)+사무실(1),0,11,2,보건직(1)+작업치료사(2)+운전직(1),대구광역시 서구청,,053-663-3811,,치매조기검진+치매예방프로그램+쉼터인지재활프로그램+치매가족교실 등,053-663-3811,대구광역시 서구청,2026-02-02,3430000,대구광역시 서구
동구보건소 치매안심센터,치매안심센터,대구광역시 동구 동촌로 79,대구광역시 동구 검사동 1005-8,35.88812099,128.651234,2018-12,537,선별검사실+사무실+프로그램실+상담실,2,10,5,작업치료사(3),대구동구보건소,정재헌,053-662-3175,,인지재활 및 가족지지 프로그램,053-662-3175,대구광역시 동구보건소,2026-03-20,3420000,대구광역시 동구
동대문구 치매안심센터,치매안심센터,서울특별시 동대문구 홍릉로 81,서울특별시 동대문구 청량리동 203-1,37.58751921,127.0427044,2008-04,567.58,프로그램실+상담실+진료실+기억키움학교,1,5,5,미술치료사(1)+음악치료사(1)+작업치료사(3)+행정(1),경희의료원,강원섭,02-957-3062,2024-01-01,치매조기검진+치매환자 등록관리+치매환자 인지재활프로그램+가족치유 프로그램+기억키움학교 운영,02-2171-6087,서울특별시 동대문구보건소,2026-02-20,3050000,서울특별시 동대문구
당진시치매안심센터,치매안심센터,충청남도 당진시 서부로 56,충청남도 당진시 채운동 1040,36.88735969,126.6304725,2018-12,,,1,6,2,,당진시보건소,,041-360-6269,,"치매 상담 및 등록관리 사업, 치매 조기검진 사업, 치매 예방관리 사업, 치매환자 관리 지원사업, 치매 가족 및 보호자 지원사업, 치매인식개선 및 교육홍보 사업, 치매안심마을 운영, 치매 주간보호소 운영",041-360-6269,당진시보건소,2026-01-05,5680000,충청남도 당진시
진해보건소 치매안심센터,치매안심센터,경상남도 창원시 진해구 중원동로 62,경상남도 창원시 진해구 중앙동 11-1,35.149898,128.661939,2019-12,645,,1,5,3,작업치료사(2)+임상심리사(1),진해보건소 서부보건지소,강명구,055-225-6692,,치매인지재활+치매가족모임+무료치매검사+치매극복의날 기념행사,055-225-6692,경상남도 창원시청,2026-01-29,5670000,경상남도 창원시
마산보건소 치매안심센터,치매안심센터,경상남도 창원시 마산합포구 월영동북로15,경상남도 창원시 마산합포구 해운동 61-1,35.18239851,128.5628997,2019-12,616,,1,10,2,작업치료사(2)+임상심리사(1),마산보건소 건강관리과,이지련,055-225-5993,,치매인지재활+치매가족모임+무료치매검사+치매극복의날 기념행사,055-225-5993,경상남도 창원시청,2026-01-29,5670000,경상남도 창원시
창원보건소 치매안심센터,치매안심센터,경상남도 창원시 성산구 마디미로73번길 10,경상남도 창원시 성산구 상남동 37-3,35.218325,128.6823024,2019-12,1048,,1,9,2,작업치료사(2),창원보건소 건강관리과,오재연,055-225-5794,,치매인지재활+치매가족모임+무료치매검사+치매극복의날 기념행사,055-225-5748,경상남도 창원시청,2026-01-29,5670000,경상남도 창원시
화성시치매안심센터 동부분소,치매안심센터,경기도 화성시 병점구 떡전골로 72-3,경기도 화성시 병점구 병점동 400-6,37.20527854,127.0349013,2021-01,51,검진실+상담실+사무실,0,4,0,위생사(1),경기도 화성시 동부보건소,심정식,031-5189-4431,,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+맞춤형 사례관리사업,031-5189-1080,경기도 화성시청 치매안심센터,2026-02-01,5530000,경기도 화성시
화성시치매안심센터 동탄분소,치매안심센터,경기도 화성시 동탄구 노작로 226-9,경기도 화성시 동탄구 석우동 60,37.20701031,127.0787761,2019-07,263.52,쉼터+검진실+상담실+사무실,1,7,0,응급구조사(1),경기도 화성시 동탄보건소,문자,031-5189-4377,,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+쉼터 운영사업+맞춤형 사례관리사업,031-5189-1080,경기도 화성시청 치매안심센터,2026-02-01,5530000,경기도 화성시
화성시치매안심센터 봉담분소,치매안심센터,경기도 화성시 효행구 봉담읍 동화새터길 109,경기도 화성시 효행구 봉담읍 동화리 614,37.21705403,126.9611275,2021-01,95.67,검진실+상담실+사무실,0,8,0,작업치료사(1),경기도 화성시 서부보건소,곽매헌,031-5189-6269,,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+맞춤형 사례관리사업,031-5189-1080,경기도 화성시청 치매안심센터,2026-02-01,5530000,경기도 화성시
화성시치매안심센터,치매안심센터,경기도 화성시 만세구 향남읍 3.1만세로 1055,경기도 화성시 만세구 향남읍 발안리 309,37.12928395,126.9046036,2018-06,88.8,검진실+상담실+사무실,0,6,2,운전원(1),경기도 화성시 서부보건소,곽매헌,031-5189-1080,,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+맞춤형 사례관리사업,031-5189-1080,경기도 화성시청 치매안심센터,2026-02-01,5530000,경기도 화성시
상주시치매안심센터,치매안심센터,경상북도 상주시 중앙로 111,경상북도 상주시 무양동 33-4,36.41690111,128.1499972,2019-06,547.98,,0,7,3,정신건강임상심리사(1)+작업치료사(2)+행정(2),상주시보건소,이건희,054-537-6514,,치매통합관리서비스,054-535-4000,상주시보건소,2026-01-20,5110000,경상북도 상주시
해남군 치매안심센터,치매안심센터,전라남도 해남군 해남읍 해남로 46,전라남도 해남군 해남읍 해리 186,34.57046051,126.6120436,2019-11,872.07,가족카페+치매환자 쉼터+프로그램실,1,9,2,작업치료사(1),해남군치매안심센터,임명란,061-531-3704,,치매조기검진+사례관리+치매환자 쉼터 및 가족지원+치매예방 등 프로그램,061-531-3704,해남군 보건소,2026-01-01,4930000,전라남도 해남군
부안군 치매안심센터,치매안심센터,전북특별자치도 부안군 부안읍 오리정로 124,전북특별자치도 부안군 부안읍 봉덕리 551-2,35.72283463,126.7355916,2019-07,214.98,사무실(1)+프로그램실(1)+쉼터(1)+검진실(2)+상담실(1)+회의실(1)+문서고(1),1,9,4,치위생사(2)+작업치료사(1)+행정(3),부안군 보건소,박찬병,063-580-3066,,무료치매검사+진단검사+치매극복의 날 기념행사+쉼터 운영 등,,전북특별자치도 부안군청,2026-01-15,4791000,전북특별자치도 부안군
임실군치매안심센터,치매안심센터,전북특별자치도 임실군 임실읍 호국로 1680,전북특별자치도 임실군 임실읍 이도리 270-8,35.6124995,127.2869773,2019-12,871.42,상담실+검진실+사무실+쉼터+가족카페+프로그램실+회의실+화장실,1,4,3,"행정(3), 작업치료사(1)",임실군치매안심센터,김대곤,063-640-3371,,치매상담 및 등록관리+치매인식개선 및 예방사업+쉼터 및 가족지원사업+치매환자 맞춤형 집중 사례관리+치매환자 배회감지기 지원사업,063-640-3100,전북특별자치도 임실군 보건의료원,2026-01-27,4761000,전북특별자치도 임실군
남원시 치매안심센터,치매안심센터,전북특별자치도 남원시 요천로 1285,전북특별자치도 남원시 조산동 455,35.39783844,127.3639897,2018-12,469.08,지상 4층+상담실(5)+검사실(2)+쉼터(1)+사무실(1)+프로그램실(1)+교육실(1),0,9,5,임상심리사(2)+작업치료사(2)+기타(7),남원시보건소,한용재,063-620-7725,,치매인식 개선 및 예방사업+치매조기검진+맞춤형 사례관리+치매치료관리비지원+조호물품 지원+치매환자 및 가족지원사업+치매 극복의 날 기념행사+치매안심마을 운영 등,063-620-7725,전북특별자치도 남원시청,2026-01-12,4701000,전북특별자치도 남원시
안산시상록수치매안심센터,치매안심센터,"경기도 안산시 상록구 차돌배기로1길 5, 상록수보건소 3층",경기도 안산시 상록구 사동 1584,37.30026357,126.8450629,2019-05,430,로비(1)+사무실(1)+교육상담실(1)+검진실(3)+가족카페(1)+쉼터(1),0,10,2,작업치료사(2),안산시 상록수보건소,이미경,031-481-5848,,조기검진+약제비지원+사례관리+예방교육+쉼터및가족카페운영+치매파트너양성,1666-1234,경기도 안산시 상록수보건소,2026-02-24,3930000,경기도 안산시
안산시단원치매안심센터,치매안심센터,"경기도 안산시 단원구 화랑로 250, 단원보건소 3층",경기도 안산시 단원구 초지동 666-8,37.32106713,126.8152625,2018-03,558.41,로비(1)+사무실(1)+상담실(1)+검진실(2)+가족카페(1)+쉼터(3),0,7,0,작업치료사(3),안산시 단원보건소,정영란,031-481-6541,,조기검진+약제비지원+사례관리+예방교육+쉼터및가족카페운영+치매파트너양성,1666-1234,경기도 안산시 단원보건소,2026-02-24,3930000,경기도 안산시
광산구치매안심센터,치매안심센터,광주광역시 광산구 용아로379번길 77(산정동,광주광역시 광산구 산정동 1033,35.17615122,126.8002346,2019-12,520.44,사무실+프로그램실+상담실,0,10,2,,광주광역시 광산구보건소,김옥현,062-960-6930,,치매조기검진+인지프로그램+가족지원사업+사례관리+조호물품+인식개선 등,062-960-6930,광주광역시 광산구보건소,2026-02-04,3630000,광주광역시 광산구
부산광역시남구치매안심센터,치매안심센터,부산광역시 남구 못골로 23,부산광역시 남구 대연동 1268-3,35.13606784,129.0849507,2018-12,364.55,사무실(1)+검진실(3)+상담실(1)+프로그램실(2),1,10,3,작업치료사(2)+임상심리사(1)+기타(1),남구보건소치매안심센터,센터장 윤민우,051-607-3781,2018-04-27,치매조기검진+인지재활프로그램+고위험군 인지강화교실+치매예방교실 등,051-607-3781,부산광역시남구치매안심센터,2026-02-11,3310000,부산광역시 남구
강서구치매안심센터,치매안심센터,"서울특별시 강서구 화곡로 371, 경향교회선교관 3층",,37.556963,126.8522421,2009-12,630,,1,10,3,운동처방사(1)+작업치료사(9)+임상심리사(1),이화여자대학교 의과대학부속 서울병원,허담,02-3663-0943,2026-01-01,무료치매검진 및 진단+치매예방교육+치매예방인지재활프로그램+치매가족지지 프로그램+실종예방프로그램+조호물품지원 등,02-2600-5877,서울특별시 강서구청,2026-02-06,3150000,서울특별시 강서구
고성군치매안심센터,치매안심센터,경상남도 고성군 고성읍 중앙로 35,경상남도 고성군 고성읍 성내리 27,34.97451724,128.3244477,2018-12,412,,0,9,3,작업치료사(1),경상남도 고성군 보건소,이상근,055-670-4851,,치매조기검진+치매치료관리비+검진비 지원+치매환자 조호물품 제공+치매환자 실종예방 사업+치매환자 쉼터+예방교실 운영+치매환자 가족지원사업+인식개선 교육·홍보,055-670-4851,경상남도 고성군,2026-01-30,5420000,경상남도 고성군
양산시치매안심센터,치매안심센터,경상남도 양산시 중앙로 7-32,경상남도 양산시 다방동 506-3,35.33215753,129.0379947,2018-12,1000.5,,0,12,3,작업치료사(2)+기타(2),양산시치매안심센터,김정미,055-392-5175,,치매조기검진 및 예방 사업+치매치료비 지원+치매 환자 및 가족 지원 사업,055-392-5175,양산시보건소,2026-01-20,5380000,경상남도 양산시
거제시 치매안심센터,치매안심센터,경상남도 거제시 거제중앙로13길 25,경상남도 거제시 고현동 159-11,34.88218472,128.6236992,2016-12,959.22,검진실(3)+상담실(1)+프로그램실(1)+쉼터(1)+카페(1)+사무실(3)+대회의실(1)+소회의실(1)+화장실 각층(3),0,14,2,작업치료사(1)+기타(2),거제시보건소,김영실,055-639-6226,,치매환자 등록 및 관리+치매조기검진+치매예방교육 및 인식개선+치매가족교육 및 자조모임+치매환자 쉼터프로그램운영,055-639-6200,경상남도 거제시 보건소,2026-01-16,5370000,경상남도 거제시
김해시서부보건소분소,치매안심센터,경상남도 김해시 능동로 149,경상남도 김해시 부곡동 1157-8,35.202341,128.8072142,2023-01,3528.47,사무실+상담실,0,2,1,,경상남도 김해시 김해시서부보건소,,055-330-8391,,치매상담 및 등록,055-330-8391,경상남도 김해시청,2026-01-26,5350000,경상남도 김해시
치매안심센터 주촌분소,치매안심센터,경상남도 김해시 주촌면 주선로 29-1,경상남도 김해시 주촌면 선지리 635-1,35.234777,128.845757,2018-03,1982.94,사무실+상담실+쉼터,0,5,2,임상심리사(1)+기타행정(1),경상남도 김해시 김해시보건소,,055-320-5971,,치매조기검진(선별+진단검사),055-320-5971,경상남도 김해시청,2026-01-26,5350000,경상남도 김해시
김해시치매안심센터,치매안심센터,경상남도 김해시 분성로727번길 8-35,경상남도 김해시 지내동 327-2,35.230025,128.922444,2020-09,585.49,사무실+상담실+쉼터,0,10,1,작업치료사(2)+기타행정(1),경상남도 김해시 김해시보건소,,055-320-5961,,인지재활프로그램,055-320-5961,경상남도 김해시청,2026-01-26,5350000,경상남도 김해시
영양군치매안심센터,치매안심센터,"경상북도 영양군 영양읍 동서대로 82, 3층 치매안심센터",경상북도 영양군 영양읍 동부리 164-1,36.66194441,129.1180656,2019-10,372.03,사무실(1)+프로그램실(1)+검진실(1)+진단실(1)+화장실(3)+상담실(1)+가족카페(1)+창고(1),0,6,3,"작업치료사(1), 치위생사(1), 임상병리사(1)",영양군보건소,장여진,054-680-5126,2019-10-14,치매조기검진 및 등록사업+사례관리+치매치료관리비 지원+조호물품제공+치매환자쉼터 및 가족카페 운영+치매인식개선 및 교육홍보+치매어르신 실종예방 사업 등,054-680-5126,영양군보건소,2025-12-22,5170000,경상북도 영양군
보령시치매안심센터,치매안심센터,충청남도 보령시 대천로 119,충청남도 보령시 죽정동 703-1,36.35633335,126.6045349,2018-12,490.19,,0,13,1,작업치료사(2)+임상심리사(1),충청남도 보령시,전경희,041-930-6871,,건강체조+공예+웃음치료+노래교실+요리 등,041-930-6871,충청남도 보령시청,2026-01-12,4510000,충청남도 보령시
괴산군치매안심센터,치매안심센터,충청북도 괴산군 괴산읍 동진천길 43,충청북도 괴산군 괴산읍 동부리 641,36.80799723,127.7966873,2001-12,,,0,6,1,,괴산군치매안심센터,김미경,043-830-2392,,치매선별검사+치매진단검사+가족교실+인지교실 등,043-830-2392,충청북도 괴산군청,2026-01-07,4460000,충청북도 괴산군
양평군치매안심센터,치매안심센터,경기도 양평군 양평읍 중앙로111번길 34-21,경기도 양평군 양평읍 공흥리 310-9,37.4966134,127.5051941,2019-04,998.7,,0,6,6,행정(3)+작업치료사(5),양평군보건소,배명석,031-771-5773,2025-01-01,치매조기검진+치매환자지원사업 등,031-771-5773,양평군보건소,2026-01-07,4170000,경기도 양평군
남부치매안심센터,치매안심센터,경기도 이천시 장호원읍 서동대로8809번길 30-15,경기도 이천시 장호원읍 장호원리 371-1,37.11672581,127.6148957,2019-12,375.41,사무실(1)+상담실(1)+검진실(1)+진료실(1)+프로그램실(1)+대기실(1)+휴게실(1),0,1,1,작업치료사(1),이천시 보건소,한미연,031-6190-7227,,치매조기검진사업+치매치료관리비지원사업+치매쉼터프로그램운영+치매환자가족(헤아림) 교육 및 자조모임운영+치매예방 홍보 교육 및 캠페인+치매파트너 모집+치매관련 정보제공+치매환자 배회인식표 제공+자원연계,031-6190-7227,이천시 보건소,2026-01-04,4070000,경기도 이천시
이천시치매안심센터,치매안심센터,경기도 이천시 부악로36 이천시보건소 1층,경기도 이천시 중리동 491 이천시보건소 1층,37.273877,127.433285,2018-11,,사무실(1)+상담실(2)+검진실(1)+진료실(1)+프로그램실(2)+대기실(1)+휴게실(1),8,2,3,작업치료사(2)+치과위생사(1),이천시 보건소,한미연,031-6190-7211,,치매조기검진사업+치매치료관리비지원사업+치매쉼터프로그램운영+치매환자가족(헤아림) 교육 및 자조모임운영+치매예방 홍보 교육 및 캠페인+치매파트너 모집+치매관련 정보제공+치매환자 배회인식표 제공+자원연계,031-6190-7211,이천시 보건소,2026-01-04,4070000,경기도 이천시
동두천시치매안심센터,치매안심센터,경기도 동두천시 거북마루로 49,경기도 동두천시 생연동 714-10,37.89626429,127.0516304,2019-12,710,사무실(1)+교육실(1)+치매환자쉼터(1)+상담실(2)+가족카페(1),0,4,3,행정직(1)+작업치료사(1)+보건직(1),동두천시 보건소,전명옥,031-860-3395,,"치매조기검사(선별검사,진단검사,감별검사)+치매예방교육+인지강화프로그램+치매환자및가족지원프로그램 등",031-860-3395,경기도 동두천시청 보건소,2026-01-09,3920000,경기도 동두천시
울산중구치매안심센터,치매안심센터,울산광역시 중구 외솔큰길 225,울산광역시 중구 남외동 603-2,35.5694483,129.3504562,2020-12,259.9,사무실(1)+상담실(2)+교육실(1)+프로그램실(1)+가족카페(1)+검진실(1),0,9,1,"작업치료사(2),보건의료정보관리사(1),치과위생사(1),위생사(1)",울산광역시 중구보건소,이현주,052-290-4290,,무료치매선별검사+치매예방 인지건강프로그램+치매예방 가족교육,052-290-4367,울산광역시 중구 보건소,2026-01-20,3690000,울산광역시 중구
부산광역시영도구치매안심센터,치매안심센터,부산광역시 영도구 태종로 423,부산광역시 영도구 청학동 48-3,35.0912179,129.067935,2018-12,375.42,사무실(1)+상담실(2)+검진실(1)+프로그램실(2)+카페(1),3,8,3,임상심리사(1)+작업치료사(1),영도구보건소,박성률,051-419-4935,,치매상담 및 정보 제공+치매조기검진+치매가구 맞춤형 사례관리+치매예방 및 인지강화교실 운영+치매환자 단기보호쉼터 운영+치매가족교실 및 힐링까페 운영+치매치료관리비 지원+치매환자 조호물품 지원+치매인식개선사업 운영 등,,부산광역시 영도구청,2025-12-11,3280000,부산광역시 영도구
중구치매안심센터,치매안심센터,"부산광역시 중구 흑교로 48, 중구복합건강센터 2층",부산광역시 중구 보수동1가 95-3,35.10376894,129.0253557,2019-03,200.96,사무실+상담실+검진실+프로그램실,1,5,3,작업치료사(4)+임상심리사(1),부산광역시 중구보건소,송교필,051-600-4688,,치매초기상담+조기검진+1:1 사례관리+치매치료비지원 등,051-600-4688,부산광역시 중구보건소,2026-01-14,3250000,부산광역시 중구
강남구치매안심센터,치매안심센터,서울특별시 강남구 선릉로108길 27,서울특별시 강남구 삼성동 113-26,37.5103126,127.0463796,2009-12,903.24,사무실(2)+강당(1)+건강홀(1)+진료실(1)+인지검사실(1)+프로그램실(4)+서고(1)+창고(2)+세탁실(1)+샤워룸(1)+직원휴게실(1)+화장실(5),2,6,4,,삼성서울병원,서상원,02-568-4203,2010-01-01,치매선별검사+인지건강증진프로그램운영 등,02-3423-7123,서울특별시청+강남구보건소,2026-01-27,3220000,서울특별시 강남구
음성군치매안심센터,치매안심센터,충청북도 음성군 음성읍 중앙로 49,충청북도 음성군 음성읍 읍내리 406-4,36.928899,127.688876,2024-12,495,사무실(1)+교육실(2)+화장실(2)+진료실(1)+상담실(1)+검진실(1)+카페(1)+비품실(1)+통신실(1),1,3,2,작업치료사(1)+임상심리사(1)+기타(1),음성군보건소,구미숙,043-871-2971,,치매인식개선사업+치매조기검진+치매극복의 날 기념행사+치매예방 및 관리 프로그램 운영 등,043-871-2971,충청북도 음성군청,2025-12-26,4470000,충청북도 음성군
가평군치매안심센터,치매안심센터,경기도 가평군 가평읍 가화로 155-18,경기도 가평군 가평읍 읍내리 624-1,37.83344764,127.5106291,2020-12,368,가족카페+교육실+기억키움터+상담실+사무실,1,5,1,작업치료사(2),가평군보건소,장우진,031-580-2849,,맞춤형사례관리+인지강화 및 치매예방교실+단기쉼터운영+치매파트너 및 파트너플러스 양성+치매가족지지프로그램+인식강화 등,031-580-2849,경기도 가평군보건소,2025-12-24,4160000,경기도 가평군
제천시치매안심센터,치매안심센터,충청북도 제천시 의림대로 242,충청북도 제천시 청전동 110,37.1493417,128.2160865,2025-01,378,사무실(1)+교육실(1)+가족카페(1)+상담실(1)+검진실(3),0,9,1,작업치료사(1)+임상심리사(1)+보건의료정보관리사(1),제천시보건소,안순덕,043-641-3058,,"치매조기검진, 치매예방 및 인지강화 프로그램, 치매환자지원(쉼터, 치료비, 조호물품 등), 치매인식개선홍보 및 치매파트너 양성 등",043-646-2720,제천시보건소,2025-12-18,4400000,충청북도 제천시
남부치매안심센터,치매안심센터,경기도 여주시 점동면 청안2길 20,,37.20378959,127.6599867,2025-08,83.3,사무실+프로그램실+상담실+진단검사실,0,0,1,작업치료사(1),경기도 여주시보건소,,031-887-3493,,예방프로그램+쉼터+치매인식개선사업+조기검진사업,031-887-3493,경기도 여주시청,2025-12-22,5700000,경기도 여주시
북부치매안심센터,치매안심센터,경기도 여주시 대신면 풍양1길 16,,37.37205549,127.5852432,2025-07,180,사무실+프로그램실+상담실+진단검사실,0,1,0,작업치료사(1),경기도 여주시보건소,,031-887-3497,,예방프로그램+쉼터+치매인식개선사업+조기검진사업,031-887-3497,경기도 여주시청,2025-12-22,5700000,경기도 여주시
여주시치매안심센터,치매안심센터,경기도 여주시 여흥로 160번길 12,,37.29477832,127.6399084,2025-01,517,사무실+프로그램실+상담실+진단검사실+가족카페,1,6,1,작업치료사(1),경기도 여주시보건소,,031-887-3685,,예방프로그램+쉼터+치매인식개선사업+조기검진사업,031-887-3685,경기도 여주시청,2025-12-22,5700000,경기도 여주시
