시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
견산5리경로당,경로당,경기도 평택시 진위면 진위서로 84-10 서울아트빌라 8동 101호,,37.106855,127.072001,영업,,1992-01-01,35.28,경기도 평택시청,2026-03-15,3910000,경기도 평택시
견산4리경로당,경로당,경기도 평택시 진위면 견산1길 3-4 (서원아파트),,37.108776,127.073384,영업,,1991-01-01,39.67,경기도 평택시청,2026-03-15,3910000,경기도 평택시
견산3리경로당,경로당,경기도 평택시 진위면 견산1길 3-5 (청도아파트),,37.108433,127.072139,영업,031-662-0123,1992-01-07,82.65,경기도 평택시청,2026-03-15,3910000,경기도 평택시
견산2리경로당,경로당,경기도 평택시 진위면 견산2길 16,,37.106836,127.080012,영업,031-666-0703,2007-01-10,56.2,경기도 평택시청,2026-03-15,3910000,경기도 평택시
견산1리경로당,경로당,경기도 평택시 진위면 견산1길 21-1,,37.10844,127.07422,영업,031-662-5563,1992-01-01,62.81,경기도 평택시청,2026-03-15,3910000,경기도 평택시
가야실경로당,경로당,경기도 평택시 진위면 가곡1길 17-7 (가곡1리),,37.113503,127.084522,영업,031-611-9837,2004-12-21,42.98,경기도 평택시청,2026-03-15,3910000,경기도 평택시
가곡5리경로당,경로당,경기도 평택시 진위면 가곡5길 112-3,,37.115977,127.072351,영업,031-668-2849,1995-08-30,26.45,경기도 평택시청,2026-03-15,3910000,경기도 평택시
가곡4리경로당,경로당,경기도 평택시 진위면 가곡길 97-5,,37.118497,127.074312,영업,031-667-9009,2001-06-28,39.67,경기도 평택시청,2026-03-15,3910000,경기도 평택시
가곡3리경로당,경로당,경기도 평택시 진위면 가곡3길 24-4,,37.116972,127.075208,영업,,2001-09-22,42.98,경기도 평택시청,2026-03-15,3910000,경기도 평택시
가곡2리경로당,경로당,경기도 평택시 진위면 가곡2길 109,,37.113373,127.0898,영업,,2001-08-24,42.98,경기도 평택시청,2026-03-15,3910000,경기도 평택시
사랑,경로당,경기도 평택시 지제동삭1로 163,,37.02063576,127.092978,영업,,2024-04-11,175.77,경기도 평택시청,2026-03-15,3910000,경기도 평택시
더샵,경로당,경기도 평택시 지제동삭1로 163,,37.02063576,127.092978,영업,,2024-04-11,175.77,경기도 평택시청,2026-03-15,3910000,경기도 평택시
이편한세상지제역경로당,경로당,경기도 평택시 지제동삭1로 220,,37.02063576,127.092978,영업,,2022-12-28,204.17,경기도 평택시청,2026-03-15,3910000,경기도 평택시
지제더샵3블럭경로당,경로당,경기도 평택시 동삭1로22번길 40,,37.02063576,127.092978,영업,,2019-07-12,220.55,경기도 평택시청,2026-03-15,3910000,경기도 평택시
방축1리경로당,경로당,경기도 평택시 고덕면 효학길 55,,37.011014,127.031724,영업,,2009-09-25,62.56,경기도 평택시청,2026-03-15,3910000,경기도 평택시
문곡4리경로당,경로당,경기도 평택시 고덕면 문곡4길 28,,37.057467,127.008716,영업,031-668-0931,1997-01-01,50,경기도 평택시청,2026-03-15,3910000,경기도 평택시
문곡3리경로당,경로당,경기도 평택시 고덕면 문곡3길 63,,37.060108,127.005623,영업,031-667-6938,2013-01-01,98,경기도 평택시청,2026-03-15,3910000,경기도 평택시
문곡2리경로당,경로당,경기도 평택시 고덕면 문곡2길 79,,37.061686,127.012203,영업,031-667-2312,2010-11-23,91,경기도 평택시청,2026-03-15,3910000,경기도 평택시
문곡1리경로당,경로당,경기도 평택시 고덕면 문곡1길 20,,37.068214,127.013738,영업,031-668-4566,2010-12-16,66,경기도 평택시청,2026-03-15,3910000,경기도 평택시
두릉3리경로당,경로당,경기도 평택시 고덕면 황구지마을길 29,,37.063757,127.028379,영업,031-668-6635,2011-03-02,100,경기도 평택시청,2026-03-15,3910000,경기도 평택시
두릉2리경로당,경로당,경기도 평택시 고덕면 청원로 788-26,,37.052656,127.014276,영업,,2019-07-16,89.22,경기도 평택시청,2026-03-15,3910000,경기도 평택시
두릉1리경로당,경로당,경기도 평택시 고덕면 두릉길 12-12,,37.064453,127.023209,영업,031-667-2223,2010-12-01,71,경기도 평택시청,2026-03-15,3910000,경기도 평택시
동청3리경로당,경로당,경기도 평택시 고덕면 동청3길 145,,37.038643,127.001238,영업,,2012-01-01,47.43,경기도 평택시청,2026-03-15,3910000,경기도 평택시
동청2리경로당,경로당,경기도 평택시 고덕면 동청2길 52,,37.049424,127.004897,영업,031-666-1138,2001-01-01,40,경기도 평택시청,2026-03-15,3910000,경기도 평택시
동청1리경로당,경로당,경기도 평택시 고덕면 동청1길 7,,37.054209,127.003845,영업,031-611-0034,1998-12-03,36,경기도 평택시청,2026-03-15,3910000,경기도 평택시
동고2리경로당,경로당,경기도 평택시 고덕면 동고3길 100,,37.006099,127.043416,영업,,1995-05-01,171,경기도 평택시청,2026-03-15,3910000,경기도 평택시
동고1리경로당,경로당,경기도 평택시 고덕면 동고1길 17-17,,37.009439,127.040846,영업,031-664-2205,2007-01-01,69,경기도 평택시청,2026-03-15,3910000,경기도 평택시
당현5리경로당,경로당,경기도 평택시 고덕면 율곡길 26,,37.071093,127.038497,영업,031-611-4626,2016-12-06,84.25,경기도 평택시청,2026-03-15,3910000,경기도 평택시
당현3리경로당,경로당,경기도 평택시 고덕면 당현3길 53,,37.075278,127.034474,영업,,2012-06-28,49,경기도 평택시청,2026-03-15,3910000,경기도 평택시
당현1리경로당,경로당,경기도 평택시 고덕면 당현1길 109,,37.065373,127.033205,영업,031-666-0433,2012-07-12,66,경기도 평택시청,2026-03-15,3910000,경기도 평택시
궁2리경로당,경로당,경기도 평택시 고덕면 궁2길 21-5,,37.016854,127.0305997,영업,031-663-0050,1992-12-30,73,경기도 평택시청,2026-03-15,3910000,경기도 평택시
궁1리경로당,경로당,경기도 평택시 고덕면 새악길 18,,37.016802,127.020605,영업,,2006-12-07,60,경기도 평택시청,2026-03-15,3910000,경기도 평택시
회화리경로당,경로당,경기도 평택시 서탄면 회화1길 50-6,,37.096382,127.025691,영업,031-664-9346,2008-12-31,95,경기도 평택시청,2026-03-15,3910000,경기도 평택시
적봉리경로당,경로당,경기도 평택시 서탄면 적봉길 12-1,,37.098482,127.032324,영업,031-662-4770,2015-12-09,38.31,경기도 평택시청,2026-03-15,3910000,경기도 평택시
장등2리경로당,경로당,경기도 평택시 서탄면 장등2길 34,,37.074315,127.022554,영업,031-666-1968,2000-12-31,102,경기도 평택시청,2026-03-15,3910000,경기도 평택시
장등1리경로당,경로당,경기도 평택시 서탄면 장등1길 10,,37.075102,127.027245,영업,,1997-12-31,66,경기도 평택시청,2026-03-15,3910000,경기도 평택시
수월암3리경로당,경로당,경기도 평택시 서탄면 수월암3길 54,,37.120029,127.017129,영업,,1992-12-31,59.4,경기도 평택시청,2026-03-15,3910000,경기도 평택시
수월암2리경로당,경로당,경기도 평택시 서탄면 수월암길 16-7,,37.120097,127.033073,영업,031-663-0776,2012-12-31,81,경기도 평택시청,2026-03-15,3910000,경기도 평택시
수월암1리경로당,경로당,경기도 평택시 서탄면 수월암1길 139,,37.123387,127.044352,영업,,2014-12-31,64,경기도 평택시청,2026-03-15,3910000,경기도 평택시
사리경로당,경로당,경기도 평택시 서탄면 사리안길 3-6,,37.116333,127.048964,영업,031-667-4940,2008-12-31,106,경기도 평택시청,2026-03-15,3910000,경기도 평택시
마두2리경로당,경로당,경기도 평택시 서탄면 마두2길 113,,37.106547,127.024627,영업,031-663-6440,2010-12-31,89,경기도 평택시청,2026-03-15,3910000,경기도 평택시
마두1리경로당,경로당,경기도 평택시 서탄면 마두1길 92-1,,37.109648,127.016059,영업,031-662-7388,1998-12-31,79,경기도 평택시청,2026-03-15,3910000,경기도 평택시
내천2리경로당,경로당,경기도 평택시 서탄면 내천2길 11-5,,37.119042,127.008961,영업,031-664-9153,2001-12-31,116,경기도 평택시청,2026-03-15,3910000,경기도 평택시
내천1리경로당,경로당,경기도 평택시 서탄면 내천1길 25,,37.127981,127.013267,영업,031-664-1235,2011-12-31,93,경기도 평택시청,2026-03-15,3910000,경기도 평택시
금암3리경로당,경로당,경기도 평택시 서탄면 금암3길 12,,37.109831,127.031662,영업,031-664-2539,2013-12-31,57,경기도 평택시청,2026-03-15,3910000,경기도 평택시
금암2리경로당,경로당,경기도 평택시 서탄면 금암2길 116,,37.108486,127.035786,영업,031-664-9197,2010-12-31,116,경기도 평택시청,2026-03-15,3910000,경기도 평택시
금암1리경로당,경로당,경기도 평택시 서탄면 금암1길 53-1,,37.1063,127.043025,영업,031-611-0773,2010-12-31,86,경기도 평택시청,2026-03-15,3910000,경기도 평택시
금각1리경로당,경로당,경기도 평택시 서탄면 용소금각로 438,,37.069564,127.009155,영업,031-667-4652,2012-12-31,93,경기도 평택시청,2026-03-15,3910000,경기도 평택시
화영아파트경로당,경로당,경기도 평택시 진위면 가곡5길 120-11,,37.11749,127.074538,영업,,1995-09-19,31,경기도 평택시청,2026-03-15,3910000,경기도 평택시
반지주공3단지아파트경로당,경로당,경기도 평택시 이충로35번길 51 (이충동),,37.057362,127.065879,영업,031-663-2284,2006-08-10,112.4,경기도 평택시청,2026-03-15,3910000,경기도 평택시
미주3차아파트경로당,경로당,경기도 평택시 이충로 60 (이충동),,37.062203,127.069949,영업,031-665-3836,1996-12-31,102.48,경기도 평택시청,2026-03-15,3910000,경기도 평택시
롯데캐슬아파트경로당,경로당,경기도 평택시 송탄로170 (서정동),,37.060006,127.060573,영업,031-662-1231,2010-01-29,148.15,경기도 평택시청,2026-03-15,3910000,경기도 평택시
동령경로당,경로당,경기도 평택시 동령길 21 (이충동),,37.061729,127.073506,영업,031-611-0575,2010-01-01,172.89,경기도 평택시청,2026-03-15,3910000,경기도 평택시
대동경로당,경로당,"경기도 평택시 송탄로 125 (이충동 471-4,21)",,37.055746,127.057511,영업,031-666-2793,1983-05-06,131.44,경기도 평택시청,2026-03-15,3910000,경기도 평택시
건영(LIG)아파트경로당,경로당,경기도 평택시 이충로 72 (이충동),,37.06444,127.068626,영업,031-611-5200,1997-10-31,62.81,경기도 평택시청,2026-03-15,3910000,경기도 평택시
디에트르리비에르,경로당,경기도 평택시 고덕국제6로 16,,37.03351864,127.0352694,영업,,2026-01-22,141.08,경기도 평택시청,2026-03-15,3910000,경기도 평택시
고덕 제일풍경채3차,경로당,경기도 평택시 고덕로271,,37.0387088,127.0287234,영업,,2024-11-06,186.88,경기도 평택시청,2026-03-15,3910000,경기도 평택시
평택고덕금호어울림,경로당,경기도 평택시 고덕로 191,,37.03386755,127.021842,영업,,2024-09-24,247.4,경기도 평택시청,2026-03-15,3910000,경기도 평택시
평택고덕LH12단지경로당,경로당,경기도 평택시 고덕국제5로 160,,37.03610611,127.0258263,영업,,2023-02-07,129.58,경기도 평택시청,2026-03-15,3910000,경기도 평택시
대광로제비앙디아트경로당,경로당,경기도 평택시 고덕국제6로 49,,37.03656257,127.0328451,영업,,2022-06-15,126,경기도 평택시청,2026-03-15,3910000,경기도 평택시
풍경채2차경로당,경로당,경기도 평택시 고덕국제8로 100,,37.04036379,127.0269114,영업,,2023-01-20,186,경기도 평택시청,2026-03-15,3910000,경기도 평택시
평택고덕LH2단지경로당,경로당,경기도 평택시 고덕국제대로 232,,37.05773979,127.0454593,영업,,2022-07-21,202.8,경기도 평택시청,2026-03-15,3910000,경기도 평택시
고덕센트레빌NHF 3단지경로당,경로당,경기도 평택시 고덕동 고덕갈평3로 50,,37.062301,127.050043,영업,,2021-07-29,135.56,경기도 평택시청,2026-03-15,3910000,경기도 평택시
리슈빌레이크파크경로당,경로당,경기도 평택시 고덕국제6로 50,,37.03636426,127.0353768,영업,,2021-11-04,130,경기도 평택시청,2026-03-15,3910000,경기도 평택시
신안인스빌경로당,경로당,경기도 평택시 고덕국제대로 203,,37.05551186,127.0420588,영업,,2020-04-27,180,경기도 평택시청,2026-03-15,3910000,경기도 평택시
제일풍경채경로당,경로당,경기도 평택시 고덕국제대로 179,,37.05374188,127.0420352,영업,,2019-11-11,174.6,경기도 평택시청,2026-03-15,3910000,경기도 평택시
파라곤에듀포레사랑방경로당,경로당,경기도 평택시 고덕국제8로 91(고덕국제신도시 파라곤에듀포레),,37.04188499,127.025071,영업,,2021-07-30,200.64,경기도 평택시청,2026-03-15,3910000,경기도 평택시
고덕LH35단지경로당,경로당,경기도 평택시 고덕동 고덕순환대로 579,,37.059348,127.049259,영업,031-663-2541,2020-02-03,138.05,경기도 평택시청,2026-03-15,3910000,경기도 평택시
고덕포레스트경로당,경로당,경기도 평택시 고덕동 고덕국제대로 152,,37.051263,127.044447,영업,,2019-07-26,140.86,경기도 평택시청,2026-03-15,3910000,경기도 평택시
고덕어울림스퀘어경로당,경로당,경기도 평택시 고덕면 중앙2로 100,,36.990453,127.096174,영업,,2020-10-08,177.97,경기도 평택시청,2026-03-15,3910000,경기도 평택시
고덕파라곤아파트경로당,경로당,경기도 평택시 고덕면 고덕국제대로 180,,37.052418,127.044499,영업,031-668-9351,2019-06-14,122.72,경기도 평택시청,2026-03-15,3910000,경기도 평택시
평택고덕LH17단지경로당,경로당,경기도 평택시 고덕면 고덕여염로 20,,37.037327,127.045037,영업,031-662-0593,2021-03-03,116.13,경기도 평택시청,2026-03-15,3910000,경기도 평택시
고덕신동아nhf사랑채경로당,경로당,경기도 평택시 고덕면 고덕국제2로 73,,37.049505,127.044424,영업,031-611-7712,2019-08-26,242.15,경기도 평택시청,2026-03-15,3910000,경기도 평택시
고덕하늘채경로당,경로당,경기도 평택시 고덕면 효덕새싹길 55,,37.02024484,127.0348352,영업,,2021-02-26,198,경기도 평택시청,2026-03-15,3910000,경기도 평택시
해창5리경로당,경로당,경기도 평택시 고덕면 방시천길 29,,37.020483,127.019411,영업,,2010-01-01,100,경기도 평택시청,2026-03-15,3910000,경기도 평택시
해창2리경로당,경로당,경기도 평택시 고덕면 문화마을길 58,,37.040311,127.015402,영업,031-662-3536,2003-01-01,100,경기도 평택시청,2026-03-15,3910000,경기도 평택시
해창1리경로당,경로당,경기도 평택시 고덕면 해창1길 59,,37.044915,127.007732,영업,,2017-12-05,98.02,경기도 평택시청,2026-03-15,3910000,경기도 평택시
태평아파트 경로당,경로당,경기도 평택시 고덕면 서동대로 2651,,37.016702,127.03391,영업,031-668-2644,1994-12-09,89,경기도 평택시청,2026-03-15,3910000,경기도 평택시
영화블렌하임(아)경로당,경로당,경기도 평택시 고덕면 궁2길 37-24,,37.021764,127.033847,영업,031-663-0050,2008-06-04,79,경기도 평택시청,2026-03-15,3910000,경기도 평택시
방축5리경로당,경로당,경기도 평택시 고덕면 방축5길 40-25,,37.010107,127.054389,영업,,2019-04-19,36.08,경기도 평택시청,2026-03-15,3910000,경기도 평택시
방축4리경로당,경로당,경기도 평택시 고덕면 방축4길 35,,37.015836,127.04073,영업,,2000-01-01,48.8,경기도 평택시청,2026-03-15,3910000,경기도 평택시
방축3리경로당,경로당,경기도 평택시 고덕면 방축3길 41,,37.020505,127.042001,영업,,2020-01-01,47.87,경기도 평택시청,2026-03-15,3910000,경기도 평택시
방축2리경로당,경로당,경기도 평택시 고덕면 방축길 143,,37.018731,127.047742,영업,,2008-01-01,116,경기도 평택시청,2026-03-15,3910000,경기도 평택시
충온경로당,경로당,경기도 평택시 송일로25번길 14 (서정동),,37.064397,127.059788,영업,031-667-3936,1998-01-01,69,경기도 평택시청,2026-03-15,3910000,경기도 평택시
지장경로당,경로당,경기도 평택시 송탄2로19번길 35-6 (서정동),,37.073006,127.056781,영업,031-662-8850,1985-01-01,63,경기도 평택시청,2026-03-15,3910000,경기도 평택시
점촌경로당,경로당,경기도 평택시 서정로 202 (서정동),,37.066195,127.055763,영업,031-665-3013,1992-01-01,86,경기도 평택시청,2026-03-15,3910000,경기도 평택시
적봉리경로당,경로당,경기도 평택시 원적봉로28번길 31 (서정동),,37.076494,127.043304,영업,031-662-6185,1993-01-01,66,경기도 평택시청,2026-03-15,3910000,경기도 평택시
영광(아)경로당,경로당,경기도 평택시 서정로 165 (서정동),,37.067669,127.052325,영업,031-666-1283,1997-01-16,47,경기도 평택시청,2026-03-15,3910000,경기도 평택시
신창경로당,경로당,경기도 평택시 신창로31번길 37-1 (서정동),,37.074145,127.045982,영업,031-662-8144,1991-10-17,142,경기도 평택시청,2026-03-15,3910000,경기도 평택시
세경아파트경로당,경로당,경기도 평택시 특구로27번길 16 (서정동),,37.068288,127.062934,영업,031-667-3501,1987-07-13,40,경기도 평택시청,2026-03-15,3910000,경기도 평택시
서정29통경로당,경로당,"경기도 평택시 서정북로125번길 86, 가동 101호 (서정동, 별장빌라)",,37.072603,127.062285,영업,,1991-01-01,60.87,경기도 평택시청,2026-03-15,3910000,경기도 평택시
사거리경로당,경로당,경기도 평택시 국제로 45 (서정동),,37.074743,127.04413,영업,031-666-7689,1988-01-01,88.27,경기도 평택시청,2026-03-15,3910000,경기도 평택시
복창경로당,경로당,경기도 평택시 복창로 11-4 (서정동),,37.069618,127.051088,영업,031-662-0455,1995-01-01,136,경기도 평택시청,2026-03-15,3910000,경기도 평택시
만섬경로당,경로당,"경기도 평택시 경기대로1376번길 45, B동 지층1호 (서정동, 태광빌라)",,37.069627,127.064762,영업,,1990-01-01,49.53,경기도 평택시청,2026-03-15,3910000,경기도 평택시
동산아파트경로당,경로당,경기도 평택시 특구로27번길 46 (서정동),,37.068375,127.060223,영업,031-666-5941,1989-10-26,60,경기도 평택시청,2026-03-15,3910000,경기도 평택시
금호아파트경로당,경로당,경기도 평택시 지장로27번길 100 (서정동),,37.068813,127.056462,영업,031-611-2977,1996-10-21,79,경기도 평택시청,2026-03-15,3910000,경기도 평택시
휴먼시아추담마을(아)경로당,경로당,경기도 평택시 이충로 16 (이충동),,37.058811,127.070213,영업,031-664-4040,2007-06-04,128.93,경기도 평택시청,2026-03-15,3910000,경기도 평택시
효명아파트경로당,경로당,"경기도 평택시 탄현로1번길 77, 2층 (장당동, 아파트 상가동)",,37.050847,127.054629,영업,,1991-11-18,51.07,경기도 평택시청,2026-03-15,3910000,경기도 평택시
한국아파트경로당,경로당,경기도 평택시 송탄로40번길 46 (장당동),,37.050864,127.058876,영업,031-662-8390,2005-02-05,59.5,경기도 평택시청,2026-03-15,3910000,경기도 평택시
주공4단지아파트경로당,경로당,경기도 평택시 정암로60번길 77 (이충동),,37.054288,127.057698,영업,031-665-5120,1990-04-25,49.59,경기도 평택시청,2026-03-15,3910000,경기도 평택시
주공3단지아파트경로당,경로당,경기도 평택시 서정남로 183 (서정동),,37.061419,127.059229,영업,031-664-8321,1988-08-22,59.5,경기도 평택시청,2026-03-15,3910000,경기도 평택시
제일하이빌2차아파트경로당,경로당,경기도 평택시 경기대로 1144 (장당동),,37.04923,127.060706,영업,031-663-2276,2005-02-23,55.54,경기도 평택시청,2026-03-15,3910000,경기도 평택시
제일하이빌1차아파트경로당,경로당,경기도 평택시 경기대로 1155 (장당동),,37.048045,127.059012,영업,031-611-0228,2005-02-23,69.42,경기도 평택시청,2026-03-15,3910000,경기도 평택시
정암마을뜨란채2단지경로당,경로당,경기도 평택시 이충로35번길 19 (이충동),,37.059277,127.06752,영업,031-663-4470,2006-08-07,49.59,경기도 평택시청,2026-03-15,3910000,경기도 평택시
이충현대아파트경로당,경로당,경기도 평택시 송탄로 90 (이충동),,37.053332,127.057609,영업,031-667-1227,1992-10-21,181.82,경기도 평택시청,2026-03-15,3910000,경기도 평택시
이충e-편한세상아파트경로당,경로당,경기도 평택시 이충로 49-13 (이충동),,37.060023,127.067331,영업,031-666-7706,2007-06-04,66.12,경기도 평택시청,2026-03-15,3910000,경기도 평택시
우미5차아파트경로당,경로당,경기도 평택시 경기대로 1200 (이충동),,37.053144,127.061203,영업,031-666-1238,2006-03-16,125.62,경기도 평택시청,2026-03-15,3910000,경기도 평택시
우미3차아파트경로당,경로당,경기도 평택시 경기대로 1177 (장당동),,37.051469,127.05897,영업,031-667-5757,2006-03-16,119.01,경기도 평택시청,2026-03-15,3910000,경기도 평택시
우미2차아파트경로당,경로당,경기도 평택시 경기대로 1188 (장당동),,37.052157,127.060603,영업,031-666-8883,2005-04-08,105.79,경기도 평택시청,2026-03-15,3910000,경기도 평택시
우미1차아파트경로당,경로당,경기도 평택시 경기대로 1166 (장당동),,37.050008,127.061473,영업,031-664-0080,2005-04-08,120.33,경기도 평택시청,2026-03-15,3910000,경기도 평택시
신서경로당,경로당,경기도 평택시 서두물로31번길 36-13 (서정동),,37.059007,127.055065,영업,031-663-9924,1997-10-28,66.12,경기도 평택시청,2026-03-15,3910000,경기도 평택시
석정경로당,경로당,경기도 평택시 돌우물길 44-7 (이충동),,37.05123,127.069833,영업,031-662-1231,2013-01-01,51,경기도 평택시청,2026-03-15,3910000,경기도 평택시
서신경로당,경로당,경기도 평택시 서두물로10번길 30 (서정동),,37.060042,127.058268,영업,031-664-7409,1996-12-30,61.82,경기도 평택시청,2026-03-15,3910000,경기도 평택시
부영3단지아파트경로당,경로당,경기도 평택시 이충로 93-20 (이충동),,37.061603,127.066549,영업,031-663-8394,1996-05-25,82.65,경기도 평택시청,2026-03-15,3910000,경기도 평택시
